Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year,Type
Gecko-Profiler-Addon,git://github.com/bgirard/Gecko-Profiler-Addon.git,26.0,679,8,0,0,28,288,53,36,6,JavaScript,2017,SE
zato,git://github.com/zatosource/zato.git,29.0,7730,787,0,12,128,441,801,185,87,Python,2019,SE
dieter,git://github.com/edgecase/dieter.git,15.0,277,17,0,1,14,111,136,22,5,Clojure,2014,SE
git-deploy,git://github.com/git-deploy/git-deploy.git,18.0,231,12,0,2,16,180,805,65,61,Perl,2015,SE
snpr,git://github.com/openSNP/snpr.git,18.0,2143,128,0,5,27,443,143,41,21,HTML,2019,SE
django-states2,git://github.com/vikingco/django-states2.git,24.0,314,11,3,48,15,397,131,36,57,Python,2018,SE
community_plugins,git://github.com/Elgg/community_plugins.git,15.0,399,50,0,0,33,449,18,18,10,PHP,2019,SE
backbone.paginator,git://github.com/backbone-paginator/backbone.paginator.git,23.0,420,195,0,21,19,343,1453,280,55,JavaScript,2018,SE
geany-themes,git://github.com/codebrainz/geany-themes.git,15.0,208,13,0,1,10,460,506,136,43,Python,2019,SE
git-bz-moz,git://github.com/mozilla/git-bz-moz.git,23.0,272,28,0,0,16,308,13,22,8,Python,2017,SE
jaws,git://github.com/ippa/jaws.git,20.0,10721,36,0,0,18,464,360,79,36,JavaScript,2019,SE
buddypress-group-email-subscription,git://github.com/boonebgorges/buddypress-group-email-subscription.git,16.0,778,89,0,26,35,468,29,20,8,PHP,2019,SE
node-statsd,git://github.com/sivy/node-statsd.git,18.0,92,18,0,1,13,198,418,175,6,JavaScript,2014,SE
spine,git://github.com/spine/spine.git,77.0,959,269,0,24,30,340,3545,451,118,JavaScript,2017,SE
GitElephant,git://github.com/matteosister/GitElephant.git,32.0,920,59,26,80,18,415,576,75,23,PHP,2019,SE
sheepdog,git://github.com/sheepdog/sheepdog.git,34.0,3652,104,0,80,125,368,843,245,133,C,2018,SE
OpenBook,git://github.com/w7cook/OpenBook.git,44.0,1409,60,0,1,9,12,24,22,21,JavaScript,2012,SE
libchewing,git://github.com/chewing/libchewing.git,50.0,1724,126,13,13,64,459,205,81,32,C,2019,SE
fulcrum,git://github.com/fulcrum-agile/fulcrum.git,50.0,697,56,0,0,40,262,1517,376,77,JavaScript,2016,SE
At.js,git://github.com/ichord/At.js.git,61.0,611,322,1,42,147,413,5202,694,178,CoffeeScript,2019,SE
boomerang,git://github.com/akamai/boomerang.git,31.0,2226,199,3,3,21,411,1362,246,94,JavaScript,2019,SE
vim-scala,git://github.com/derekwyatt/vim-scala.git,30.0,262,53,0,0,21,458,1074,135,38,Vim script,2019,SE
pybossa,git://github.com/Scifabric/pybossa.git,41.0,8639,923,49,60,46,421,632,221,60,Python,2019,SE
sprockets-rails,git://github.com/rails/sprockets-rails.git,64.0,710,205,24,33,43,447,460,212,43,Ruby,2019,SE
canjs,git://github.com/canjs/canjs.git,208.0,11192,1835,142,316,281,413,1782,411,114,JavaScript,2019,SE
wicket-bootstrap,git://github.com/l0rdn1kk0n/wicket-bootstrap.git,57.0,2116,458,5,106,15,409,280,155,46,CSS,2019,SE
monitor-core,git://github.com/ganglia/monitor-core.git,102.0,2516,44,0,142,70,359,449,225,61,C,2018,SE
pybbm,git://github.com/hovel/pybbm.git,62.0,1090,107,0,10,26,321,221,156,24,Python,2018,SE
CloudBotLegacy,git://github.com/CloudBotIRC/CloudBotLegacy.git,35.0,1642,76,0,6,0,159,60,57,17,Python,2014,SE
LimeSurvey,git://github.com/LimeSurvey/LimeSurvey.git,212.0,29782,0,0,635,0,411,1356,670,125,PHP,2019,SE
PLM,git://github.com/BuggleInc/PLM.git,45.0,4094,291,7,30,76,355,52,44,14,HTML,2018,SE
ey-docs,git://github.com/engineyard/ey-docs.git,32.0,1527,56,0,0,16,98,29,12,109,JavaScript,2013,SE
